"Course Code","Course Name","Course Description","Delivery Method","Category","Learner Group","Days","Hours","Minutes","Available Classes","Course ID","Course Last Modified","Course Owner Org","Link to ELM Search","Short Name"
"ITEM-1554","(ENV-EEP Staff Only) Water Quality Training","Water quality testing equipment training module.","eLearning","Basics","All Government of British Columbia Learners","0","0","0","1","18837","10/25/2022  4:15:11PM","Environment","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1554-""","Basics"
"ITEM-1554","(ENV-EEP Staff Only) Water Quality Training","Water quality testing equipment training module.","eLearning","Role Specific","All Government of British Columbia Learners","0","0","0","1","18837","10/25/2022  4:15:11PM","Environment","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1554-""","Role Sp"
"ITEM-1553","(ENV-EEP Staff Only) Working Alone Training","Working alone or in isolation training module for Environmental Emergency Program staff.","eLearning","Occupational Health and Safety","All Government of British Columbia Learners","0","0","0","1","18836","10/25/2022  4:14:56PM","Environment","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1553-""","OHS"
"ITEM-2252","(GCPE Restricted) Essential Elements of People-First Communications","This training is designed specifically for communicators like you. It will enhance your skills and equip you with new tools and resources to succeed in your role.","Classroom","Ministry","All Government of British Columbia Learners","1","0","0","1","19495","08/31/2023  8:54:31AM","GCPE","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2252-""","Ministry"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","All Employees","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Audience"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Being a Public Service Employee","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Topic"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Core","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Group"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Culture Building","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Culture"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Ethics and Integrity","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Topic"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Executive","All Government of British Columbia Learners","0","0","30","1","18933","12/14/2023  2:38:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Audience"
