"Course Code","Course Name","Keyword","Keyword Type ID","Keyword Type"
"ITEM-1554","(ENV-EEP Staff Only) Water Quality Training","Environmental","1034","Natural Resources"
"ITEM-1553","(ENV-EEP Staff Only) Working Alone Training","Safety","1010","Occupational Safety and Health"
"ITEM-2271","(GCPE Restricted) FOI & Records Management Introduction & Best Practices","Records","1007","Information and Privacy"
"ITEM-2271","(GCPE Restricted) FOI & Records Management Introduction & Best Practices","Regulatory","1023","Policy"
"ITEM-2471","(GCPE Restricted) Inclusive Hiring Practices","Recruitment","1031","Hiring"
"ITEM-2466","(GCPE Restricted) Why the Job Profile is Important","in the BC Public Service","1014","Supervisory Development"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","accessability","1032","All"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","accessibility","1032","All"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","autism","1032","All"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","awareness","1032","All"
"ITEM-2174","AAW23 Day 1: Accessibility Legislation Update","week","1032","All"
"ITEM-2175","AAW23 Day 2: Digital Accessibility 101","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2175","AAW23 Day 2: Digital Accessibility 101","accessability","1032","All"
"ITEM-2175","AAW23 Day 2: Digital Accessibility 101","accessibility","1032","All"
"ITEM-2175","AAW23 Day 2: Digital Accessibility 101","autism","1032","All"
"ITEM-2175","AAW23 Day 2: Digital Accessibility 101","week","1032","All"
"ITEM-2176","AAW23 Day 3: Lived Experience Panel Discussion","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2176","AAW23 Day 3: Lived Experience Panel Discussion","accessability","1032","All"
"ITEM-2176","AAW23 Day 3: Lived Experience Panel Discussion","accessibility","1032","All"
"ITEM-2176","AAW23 Day 3: Lived Experience Panel Discussion","autism","1032","All"
"ITEM-2176","AAW23 Day 3: Lived Experience Panel Discussion","week","1032","All"
"ITEM-2177","AAW23 Day 4: Autism in the Workplace","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2177","AAW23 Day 4: Autism in the Workplace","accessability","1032","All"
"ITEM-2177","AAW23 Day 4: Autism in the Workplace","accessibility","1032","All"
"ITEM-2177","AAW23 Day 4: Autism in the Workplace","autism","1032","All"
"ITEM-2177","AAW23 Day 4: Autism in the Workplace","week","1032","All"
"ITEM-2179","AAW23 Day 5: Meet and Greet","Diversity and Inclusion","1039","Learning Partner"
"ITEM-2179","AAW23 Day 5: Meet and Greet","accessability","1032","All"
