"Course Code","Course Name","Course Description","Delivery Method","Category","Learner Group","Days","Hours","Minutes","Available Classes","Course ID","Course Last Modified","Course Owner Org","Link to ELM Search","Short Name"
"ITEM-2626","(SBC Restricted) SBC Emergency Support Training {Employees}","SBC Emergency Support training modules 1-5.","eLearning","All Employees","All Government of British Columbia Learners","0","1","30","1","19863","2025/04/23  3:25:14PM","Unknown","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2626-""","Audience"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","All Employees","All Government of British Columbia Learners","0","0","30","1","18933","2024/09/17  2:45:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Audience"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Core","All Government of British Columbia Learners","0","0","30","1","18933","2024/09/17  2:45:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Group"
"ITEM-1676","Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.","eLearning","Respectful Workplaces","All Government of British Columbia Learners","0","0","30","1","18933","2024/09/17  2:45:57PM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","Topic"
"ITEM-2360","Advanced Agile Series: Agile Portfolio & Value Management","For details on current course offerings and for registration details, please visit the Digital Academy page on the Learning Hub at: https://learningcentre.gww.gov.bc.ca/learninghub/learning_partner/digital-academy/","eLearning","All Employees","All Government of British Columbia Learners","0","0","0","2","19599","2024/11/19  3:51:32PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2360-""","Audience"
"ITEM-2360","Advanced Agile Series: Agile Portfolio & Value Management","For details on current course offerings and for registration details, please visit the Digital Academy page on the Learning Hub at: https://learningcentre.gww.gov.bc.ca/learninghub/learning_partner/digital-academy/","eLearning","Core","All Government of British Columbia Learners","0","0","0","2","19599","2024/11/19  3:51:32PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2360-""","Group"
"ITEM-2360","Advanced Agile Series: Agile Portfolio & Value Management","For details on current course offerings and for registration details, please visit the Digital Academy page on the Learning Hub at: https://learningcentre.gww.gov.bc.ca/learninghub/learning_partner/digital-academy/","eLearning","Project Management","All Government of British Columbia Learners","0","0","0","2","19599","2024/11/19  3:51:32PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2360-""","Topic"
"ITEM-2371","Agile Fundamentals eLearning","An introduction to the world of agile. Learn about agile values, principles, and practices, and how digital teams in the BC Government apply it.  It is ideal for learners with limited familiarity with agile. No technical background needed.","eLearning","All Employees","All Government of British Columbia Learners","0","2","0","1","19610","2024/11/19  3:52:05PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2371-""","Audience"
"ITEM-2371","Agile Fundamentals eLearning","An introduction to the world of agile. Learn about agile values, principles, and practices, and how digital teams in the BC Government apply it.  It is ideal for learners with limited familiarity with agile. No technical background needed.","eLearning","Core","All Government of British Columbia Learners","0","2","0","1","19610","2024/11/19  3:52:05PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2371-""","Group"
"ITEM-2371","Agile Fundamentals eLearning","An introduction to the world of agile. Learn about agile values, principles, and practices, and how digital teams in the BC Government apply it.  It is ideal for learners with limited familiarity with agile. No technical background needed.","eLearning","Project Management","All Government of British Columbia Learners","0","2","0","1","19610","2024/11/19  3:52:05PM","Citizens Serv/MTICS","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2371-""","Topic"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","This 30 to 60 minute eLearning module supports an annual review of the Standards of Conduct and Oath of Employment and tests for comprehension.","eLearning","All Employees","All Government of British Columbia Learners","0","1","0","1","18239","2025/05/14 10:07:36AM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-956-""","Audience"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","This 30 to 60 minute eLearning module supports an annual review of the Standards of Conduct and Oath of Employment and tests for comprehension.","eLearning","Being a Public Service Employee","All Government of British Columbia Learners","0","1","0","1","18239","2025/05/14 10:07:36AM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-956-""","Topic"
"ITEM-956","Annual Review of the Standards of Conduct and Oath of Employment","This 30 to 60 minute eLearning module supports an annual review of the Standards of Conduct and Oath of Employment and tests for comprehension.","eLearning","Mandatory","All Government of British Columbia Learners","0","1","0","1","18239","2025/05/14 10:07:36AM","Public Service Agency","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-956-""","Group"
"ITEM-2602","Anti-Racism in the BC Public Service","Pathway Goal: Learners have a better understanding of what it means to be ""anti-racist"" and what role they have within the BC Public Service in improving their capacities to respond to discrimination and racism at work.","Curated Pathway","All Employees","All Government of British Columbia Learners","0","0","90","1","19839","2025/04/28  9:53:50AM","Learning Centre","https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2602-""","Audience"
