"Course Code","Course Name","Course Description","Delivery Method",Category,"Learner Group",Duration,"Available Classes","Link to ELM Search","Course Last Modified","Course Owner Org","Course ID",Keywords,Group,Audience,Topic
ITEM-1676,"Addressing Discrimination, Bullying and Harassment in the Workplace","This 30-min online training focuses on workplace policies and regulations, as set in the Standards of Conduct, Collective Agreement and WorkSafe BC, and how these apply to employees and supervisors.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1676-""","2024/09/17  2:45:57PM","Workplace Health and Safety",18933,"Workplace Health and Safety, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, racism, reconciliation, village",Core,"All Employees","Respectful Workplaces"
ITEM-956,"Annual Review of the Standards of Conduct and Oath of Employment","This 30 to 60 minute eLearning module supports an annual review of the Standards of Conduct and Oath of Employment and tests for comprehension.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-956-""","2024/11/15 12:32:34PM","PSA Corporate Learning Branch",18239,"#mandatorybcps, Annual, Conduct, Conflict of interest, Culture, Ethics, Mandatory, OOE, Oath, Oath of Employment, PSA Corporate Learning Branch, Review, SoC, Standards, Standards of Conduct, Training, Values, Workplace, mandatorybcps",Mandatory,"All Employees","Being a Public Service Employee"
ITEM-997,"Bargaining Unit Benefits Program Overview","In this 1 hour webinar, bargaining unit employees will learn about the benefits available to them under the Bargaining Unit Benefits Program so they can make well-informed decisions about their benefits coverage when they first enrol or as life changes.",Webinar,,"All Government of British Columbia Learners","Not Listed",3,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-997-""","2023/12/18  6:03:05AM","Benefits Design and Programs",18280,"Benefits Design and Programs",Core,"All Employees","Human Resources Management"
ITEM-1836,"Behavioural Insights (BI) Basics - An Overview of Behavioural Insights","Behavioural insights (BI) is about improving government programs and services by drawing on what we know from research on decision-making. Attendance of the full session is required to receive credit. This is a prerequisite for BI Beyond Basics.",Webinar,,"All Government of British Columbia Learners","Not Listed",2,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-1836-""","2024/01/17  4:23:46PM","Behavioural Insights",19081,"Behavioural Insights",Core,"All Employees",Innovation
ITEM-5,"Building Capacity in Indigenous Relations: We are all here to stay","The BC Public Service is dedicated to making positive & committed actions towards a Reconciliation journey with Indigenous Peoples in BC. The BCIR eCourse is an important first step strengthening our capacity & ability to move forward on our shared path.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-5-""","2023/12/16  5:19:53PM","House of Indigenous Learning",1006,"Aboriginal, BCAR, BCIR, House of Indigenous Learning, Indigenous, Inuit, Metis, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, first, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, nations, racism, reconciliation, village",Core,"All Employees","Indigenous Learning"
ITEM-2014,"Building a Respectful and Inclusive Workplace (BRIW) 101: Self-Awareness","Explore tools and strategies to increase self-awareness and the important role it plays in promoting a respectful and inclusive workplace culture. 1 hour of learning to be completed on your own before the 3-hour instructor led, virtual session.",Webinar,,"All Government of British Columbia Learners","Not Listed",7,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2014-""","2024/09/17  2:45:02PM","PSA Corporate Learning Branch",19258,"Diversity, Inclusion, PSA Corporate Learning Branch, Respect, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, racism, reconciliation, village",Core,"All Employees","Respectful Workplaces"
ITEM-2015,"Building a Respectful and Inclusive Workplace (BRIW) 102: Promoting Trust","Explore behaviours, attitudes, policies, guidelines, and tools that maintain and enhance trust in the workplace. 1 hour of learning to be completed on your own before the 3-hour instructor led, virtual session.",Webinar,,"All Government of British Columbia Learners","Not Listed",4,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2015-""","2024/09/17  1:43:06PM","PSA Corporate Learning Branch",19259,"Communications, Inclusion, PSA Corporate Learning Branch, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, racism, reconciliation, respect, village",Core,"All Employees","Respectful Workplaces"
ITEM-2016,"Building a Respectful and Inclusive Workplace (BRIW) 103: Inclusive Communication","Explore the role inclusive communication practices play in building respectful and inclusive workplaces. 1 hour of learning to be completed on your own before the 3-hour instructor led, virtual session.",Webinar,,"All Government of British Columbia Learners","Not Listed",3,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2016-""","2024/09/17  1:39:08PM","PSA Corporate Learning Branch",19260,"Diversity, Inclusion, PSA Corporate Learning Branch, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, racism, reconciliation, respect, village",Core,"All Employees","Respectful Workplaces"
ITEM-2017,"Building a Respectful and Inclusive Workplace (BRIW) 104: Creating our Culture","Explore behaviours and action that promote a respectful and inclusive workplace culture and strategies to become active contributors to the culture we want. 1 hour of learning to be completed on your own before the 3-hour instructor led, virtual session.",Webinar,,"All Government of British Columbia Learners","Not Listed",3,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2017-""","2024/09/17  1:36:57PM","PSA Corporate Learning Branch",19261,"Diversity, PSA Corporate Learning Branch, aboriginal, accessibility, ally, allyship, anti-racism, bcpsbelonging, bias, briw, bullying, diversity, edi, equality, equity, gba, gender, healing, hoil, humility, inclusion, inclusive, inclusive, indigenous, lgbt, lgbtq, lgbtq2s+, racism, reconciliation, respect, village",Core,"All Employees","Respectful Workplaces"
ITEM-2049,"Business Case Foundations","This 2-hour eLearning course includes how to use a 5-step process to create a concise fact-based business case to help decision makers. Includes INFOGRAPHIC for instant help.",eLearning,,"All Government of British Columbia Learners","Not Listed",1,"https://learning.gov.bc.ca/psc/CHIPSPLM_6/EMPLOYEE/ELM/c/LM_OD_EMPLOYEE_FL.LM_FND_LRN_FL.GBL?Page=LM_FND_LRN_RSLT_FL&Action=U&KWRD=""ITEM-2049-""","2023/12/17  7:06:25PM","PSA Corporate Learning Branch",19293,"PSA Corporate Learning Branch",Core,"All Employees","Finance and Accounting"
